date,ticker,money,price,shares,total ,fees,sharpe
2024-01-17,HD,2.3032862205778954,316.7680358886719,0,0.0,125.72,5.398398549103573
2024-01-17,HON,2.3032862205778954,206.51971435546875,0.0,0.0,125.72,5.398398549103573
2024-01-17,IBM,2.3032862205778954,137.0706329345703,1.0,137.0706329345703,125.72,5.398398549103573
2024-01-17,INTC,2.3032862205778954,28.840351104736328,0,0.0,125.72,5.398398549103573
2024-01-17,JNJ,2.3032862205778954,166.02320861816406,0,0.0,125.72,5.398398549103573
2024-01-17,JPM,2.3032862205778954,136.89027404785156,100.0,13689.027404785156,125.72,5.398398549103573
2024-01-17,KO,2.3032862205778954,59.79356002807617,100.0,5979.356002807617,125.72,5.398398549103573
2024-01-17,MCD,2.3032862205778954,266.5251770019531,0,0.0,125.72,5.398398549103573
2024-01-17,MMM,2.3032862205778954,117.43218231201172,100.0,11743.218231201172,125.72,5.398398549103573
2024-01-17,MRK,2.3032862205778954,107.4436492919922,200.0,21488.72985839844,125.72,5.398398549103573
2024-01-17,MSFT,2.3032862205778954,237.79783630371097,109.0,25919.964157104496,125.72,5.398398549103573
2024-01-17,NKE,2.3032862205778954,126.05445098876952,37.0,4664.014686584472,125.72,5.398398549103573
2024-01-17,PG,2.3032862205778954,145.79466247558594,0.0,0.0,125.72,5.398398549103573
2024-01-17,TRV,2.3032862205778954,180.03318786621094,0.0,0.0,125.72,5.398398549103573
2024-01-17,UNH,2.3032862205778954,476.00885009765625,0.0,0.0,125.72,5.398398549103573
2024-01-17,V,2.3032862205778954,220.8313140869141,0,0.0,125.72,5.398398549103573
2024-01-17,VZ,2.3032862205778954,38.01217269897461,0,0.0,125.72,5.398398549103573
2024-01-17,WBA,2.3032862205778954,33.511844635009766,0,0.0,125.72,5.398398549103573
2024-01-17,WMT,2.3032862205778954,47.41347885131836,0,0.0,125.72,5.398398549103573
2024-01-18,AAPL,2.3032862205778954,134.28709411621094,0.0,0.0,125.72,1.2605637233169995
2024-01-18,AMGN,2.3032862205778954,253.5511932373047,0,0.0,125.72,1.2605637233169995
2024-01-18,AXP,2.3032862205778954,148.2625274658203,0.0,0.0,125.72,1.2605637233169995
2024-01-18,BA,2.3032862205778954,209.41000366210935,0,0.0,125.72,1.2605637233169995
2024-01-18,CAT,2.3032862205778954,246.6056671142578,0,0.0,125.72,1.2605637233169995
2024-01-18,CRM,2.3032862205778954,145.4499969482422,100.0,14544.999694824219,125.72,1.2605637233169995
2024-01-18,CSCO,2.3032862205778954,45.51456069946289,101.0,4596.970630645752,125.72,1.2605637233169995
2024-01-18,CVX,2.3032862205778954,168.68902587890625,0,0.0,125.72,1.2605637233169995
2024-01-18,DIS,2.3032862205778954,98.71826934814452,0.0,0.0,125.72,1.2605637233169995
2024-01-18,GS,2.3032862205778954,335.9849853515625,0,0.0,125.72,1.2605637233169995
2024-01-18,HD,2.3032862205778954,313.05426025390625,0,0.0,125.72,1.2605637233169995
2024-01-18,HON,2.3032862205778954,198.73533630371097,0.0,0.0,125.72,1.2605637233169995
2024-01-18,IBM,2.3032862205778954,132.55795288085938,1.0,132.55795288085938,125.72,1.2605637233169995
2024-01-18,INTC,2.3032862205778954,28.070627212524418,0,0.0,125.72,1.2605637233169995
2024-01-18,JNJ,2.3032862205778954,163.51876831054688,0,0.0,125.72,1.2605637233169995
2024-01-18,JPM,2.3032862205778954,132.77774047851562,100.0,13277.774047851562,125.72,1.2605637233169995
2024-01-18,KO,2.3032862205778954,57.98075485229492,100.0,5798.075485229492,125.72,1.2605637233169995
2024-01-18,MCD,2.3032862205778954,258.6784973144531,0,0.0,125.72,1.2605637233169995
2024-01-18,MMM,2.3032862205778954,113.86097717285156,100.0,11386.097717285156,125.72,1.2605637233169995
2024-01-18,MRK,2.3032862205778954,105.8288345336914,200.0,21165.76690673828,125.72,1.2605637233169995
2024-01-18,MSFT,2.3032862205778954,233.30604553222656,109.0,25430.358963012695,125.72,1.2605637233169995
2024-01-18,NKE,2.3032862205778954,124.37228393554688,37.0,4601.774505615234,125.72,1.2605637233169995
2024-01-18,PG,2.3032862205778954,141.8891143798828,0.0,0.0,125.72,1.2605637233169995
2024-01-18,TRV,2.3032862205778954,178.699951171875,0.0,0.0,125.72,1.2605637233169995
2024-01-18,UNH,2.3032862205778954,467.3341369628906,0.0,0.0,125.72,1.2605637233169995
2024-01-18,V,2.3032862205778954,217.32574462890625,0,0.0,125.72,1.2605637233169995
2024-01-18,VZ,2.3032862205778954,37.193302154541016,0,0.0,125.72,1.2605637233169995
2024-01-18,WBA,2.3032862205778954,32.847694396972656,0,0.0,125.72,1.2605637233169995
2024-01-18,WMT,2.3032862205778954,46.24135971069336,0,0.0,125.72,1.2605637233169995
2024-01-19,AAPL,2.3032862205778954,134.3466796875,0.0,0.0,125.72,0.24323783955497538
2024-01-19,AMGN,2.3032862205778954,251.2878875732422,0,0.0,125.72,0.24323783955497538
2024-01-19,AXP,2.3032862205778954,144.74374389648438,0.0,0.0,125.72,0.24323783955497538
2024-01-19,BA,2.3032862205778954,207.08999633789065,0,0.0,125.72,0.24323783955497538
2024-01-19,CAT,2.3032862205778954,240.85264587402344,0,0.0,125.72,0.24323783955497538
2024-01-19,CRM,2.3032862205778954,146.41000366210938,100.0,14641.000366210938,125.72,0.24323783955497538
2024-01-19,CSCO,2.3032862205778954,45.08755874633789,101.0,4553.843433380127,125.72,0.24323783955497538
2024-01-19,CVX,2.3032862205778954,170.37374877929688,0,0.0,125.72,0.24323783955497538
2024-01-19,DIS,2.3032862205778954,98.75814056396484,0.0,0.0,125.72,0.24323783955497538
2024-01-19,GS,2.3032862205778954,337.5826416015625,0,0.0,125.72,0.24323783955497538
2024-01-19,HD,2.3032862205778954,300.66510009765625,0,0.0,125.72,0.24323783955497538
2024-01-19,HON,2.3032862205778954,195.2518310546875,0.0,0.0,125.72,0.24323783955497538
2024-01-19,IBM,2.3032862205778954,132.75621032714844,1.0,132.75621032714844,125.72,0.24323783955497538
2024-01-19,INTC,2.3032862205778954,27.690635681152344,0,0.0,125.72,0.24323783955497538
2024-01-19,JNJ,2.3032862205778954,163.2972412109375,0,0.0,125.72,0.24323783955497538
2024-01-19,JPM,2.3032862205778954,131.00828552246094,100.0,13100.828552246094,125.72,0.24323783955497538
2024-01-19,KO,2.3032862205778954,57.89350128173828,100.0,5789.350128173828,125.72,0.24323783955497538
2024-01-19,MCD,2.3032862205778954,256.2865905761719,0,0.0,125.72,0.24323783955497538
2024-01-19,MMM,2.3032862205778954,109.85382080078124,100.0,10985.382080078123,125.72,0.24323783955497538
2024-01-19,MRK,2.3032862205778954,106.90862274169922,200.0,21381.724548339844,125.72,0.24323783955497538
2024-01-19,MSFT,2.3032862205778954,229.46722412109375,109.0,25011.92742919922,125.72,0.24323783955497538
2024-01-19,NKE,2.3032862205778954,122.50318908691406,37.0,4532.61799621582,125.72,0.24323783955497538
2024-01-19,PG,2.3032862205778954,138.88841247558594,0.0,0.0,125.72,0.24323783955497538
2024-01-19,TRV,2.3032862205778954,179.0989532470703,0.0,0.0,125.72,0.24323783955497538
2024-01-19,UNH,2.3032862205778954,475.30230712890625,0.0,0.0,125.72,0.24323783955497538
2024-01-19,V,2.3032862205778954,218.26649475097656,0,0.0,125.72,0.24323783955497538
2024-01-19,VZ,2.3032862205778954,37.27705001831055,0,0.0,125.72,0.24323783955497538
2024-01-19,WBA,2.3032862205778954,32.663204193115234,0,0.0,125.72,0.24323783955497538
2024-01-19,WMT,2.3032862205778954,45.581424713134766,0,0.0,125.72,0.24323783955497538
2024-01-20,AAPL,2.3032862205778954,136.92893981933594,0.0,0.0,125.72,2.0425560700270706
2024-01-20,AMGN,2.3032862205778954,252.44830322265625,0,0.0,125.72,2.0425560700270706
2024-01-20,AXP,2.3032862205778954,149.42559814453125,0.0,0.0,125.72,2.0425560700270706
2024-01-20,BA,2.3032862205778954,206.7599945068359,0,0.0,125.72,2.0425560700270706
2024-01-20,CAT,2.3032862205778954,244.73373413085935,0,0.0,125.72,2.0425560700270706
2024-01-20,CRM,2.3032862205778954,151.25,100.0,15125.0,125.72,2.0425560700270706
2024-01-20,CSCO,2.3032862205778954,45.39810562133789,101.0,4585.208667755127,125.72,2.0425560700270706
2024-01-20,CVX,2.3032862205778954,172.1821746826172,0,0.0,125.72,2.0425560700270706
2024-01-20,DIS,2.3032862205778954,103.1438446044922,0.0,0.0,125.72,2.0425560700270706
2024-01-20,GS,2.3032862205778954,329.0071105957031,0,0.0,125.72,2.0425560700270706
2024-01-20,HD,2.3032862205778954,304.6497802734375,0,0.0,125.72,2.0425560700270706
2024-01-20,HON,2.3032862205778954,196.5848846435547,0.0,0.0,125.72,2.0425560700270706
2024-01-20,IBM,2.3032862205778954,133.3037872314453,1.0,133.3037872314453,125.72,2.0425560700270706
2024-01-20,INTC,2.3032862205778954,28.470104217529297,0,0.0,125.72,2.0425560700270706
2024-01-20,JNJ,2.3032862205778954,162.53628540039062,0,0.0,125.72,2.0425560700270706
2024-01-20,JPM,2.3032862205778954,131.32911682128906,100.0,13132.911682128906,125.72,2.0425560700270706
2024-01-20,KO,2.3032862205778954,58.24249267578125,100.0,5824.249267578125,125.72,2.0425560700270706
2024-01-20,MCD,2.3032862205778954,261.1482238769531,0,0.0,125.72,2.0425560700270706
2024-01-20,MMM,2.3032862205778954,111.91305541992188,100.0,11191.305541992188,125.72,2.0425560700270706
2024-01-20,MRK,2.3032862205778954,106.9475326538086,200.0,21389.50653076172,125.72,2.0425560700270706
2024-01-20,MSFT,2.3032862205778954,237.669189453125,109.0,25905.941650390625,125.72,2.0425560700270706
2024-01-20,NKE,2.3032862205778954,124.5591812133789,37.0,4608.6897048950195,125.72,2.0425560700270706
2024-01-20,PG,2.3032862205778954,139.42474365234375,0.0,0.0,125.72,2.0425560700270706
2024-01-20,TRV,2.3032862205778954,180.3542938232422,0.0,0.0,125.72,2.0425560700270706
2024-01-20,UNH,2.3032862205778954,477.6181945800781,0.0,0.0,125.72,2.0425560700270706
2024-01-20,V,2.3032862205778954,222.12857055664065,0,0.0,125.72,2.0425560700270706
2024-01-20,VZ,2.3032862205778954,37.221221923828125,0,0.0,125.72,2.0425560700270706
2024-01-20,WBA,2.3032862205778954,33.09674835205078,0,0.0,125.72,2.0425560700270706
2024-01-20,WMT,2.3032862205778954,46.14286422729492,0,0.0,125.72,2.0425560700270706
2024-01-23,AAPL,2.3032862205778954,140.14682006835938,0.0,0.0,125.72,3.10313155085932
2024-01-23,AMGN,2.3032862205778954,250.27137756347656,0,0.0,125.72,3.10313155085932
2024-01-23,AXP,2.3032862205778954,151.79116821289062,0.0,0.0,125.72,3.10313155085932
2024-01-23,BA,2.3032862205778954,209.97000122070312,0,0.0,125.72,3.10313155085932
2024-01-23,CAT,2.3032862205778954,247.6641387939453,0,0.0,125.72,3.10313155085932
2024-01-23,CRM,2.3032862205778954,155.8699951171875,100.0,15586.99951171875,125.72,3.10313155085932
2024-01-23,CSCO,2.3032862205778954,46.09683609008789,101.0,4655.780445098877,125.72,3.10313155085932
2024-01-23,CVX,2.3032862205778954,171.95375061035156,0,0.0,125.72,3.10313155085932
2024-01-23,DIS,2.3032862205778954,105.34666442871094,0.0,0.0,125.72,3.10313155085932
2024-01-23,GS,2.3032862205778954,336.0330505371094,0,0.0,125.72,3.10313155085932
2024-01-23,HD,2.3032862205778954,305.1139831542969,0,0.0,125.72,3.10313155085932
2024-01-23,HON,2.3032862205778954,198.94940185546875,0.0,0.0,125.72,3.10313155085932
2024-01-23,IBM,2.3032862205778954,133.9268798828125,1.0,133.9268798828125,125.72,3.10313155085932
2024-01-23,INTC,2.3032862205778954,29.493160247802734,0,0.0,125.72,3.10313155085932
2024-01-23,JNJ,2.3032862205778954,162.12208557128906,0,0.0,125.72,3.10313155085932
2024-01-23,JPM,2.3032862205778954,133.45831298828125,100.0,13345.831298828125,125.72,3.10313155085932
2024-01-23,KO,2.3032862205778954,58.387901306152344,100.0,5838.790130615234,125.72,3.10313155085932
2024-01-23,MCD,2.3032862205778954,261.83856201171875,0,0.0,125.72,3.10313155085932
2024-01-23,MMM,2.3032862205778954,113.74040222167967,100.0,11374.040222167967,125.72,3.10313155085932
2024-01-23,MRK,2.3032862205778954,106.88916778564452,200.0,21377.833557128903,125.72,3.10313155085932
2024-01-23,MSFT,2.3032862205778954,240.0041351318359,109.0,26160.450729370114,125.72,3.10313155085932
2024-01-23,NKE,2.3032862205778954,126.2020034790039,37.0,4669.4741287231445,125.72,3.10313155085932
2024-01-23,PG,2.3032862205778954,137.55238342285156,0.0,0.0,125.72,3.10313155085932
2024-01-23,TRV,2.3032862205778954,181.3566741943359,0.0,0.0,125.72,3.10313155085932
2024-01-23,UNH,2.3032862205778954,476.7251892089844,0.0,0.0,125.72,3.10313155085932
2024-01-23,V,2.3032862205778954,221.9998321533203,0,0.0,125.72,3.10313155085932
2024-01-23,VZ,2.3032862205778954,36.876922607421875,0,0.0,125.72,3.10313155085932
2024-01-23,WBA,2.3032862205778954,33.825469970703125,0,0.0,125.72,3.10313155085932
2024-01-23,WMT,2.3032862205778954,46.83234405517578,0,0.0,125.72,3.10313155085932
2024-01-24,AAPL,2.3032862205778954,141.55712890625,0.0,0.0,125.72,2.009683461453242
2024-01-24,AMGN,2.3032862205778954,249.05343627929688,0,0.0,125.72,2.009683461453242
2024-01-24,AXP,2.3032862205778954,153.10211181640625,0.0,0.0,125.72,2.009683461453242
2024-01-24,BA,2.3032862205778954,211.97999572753903,0,0.0,125.72,2.009683461453242
2024-01-24,CAT,2.3032862205778954,252.47628784179688,0,0.0,125.72,2.009683461453242
2024-01-24,CRM,2.3032862205778954,154.86000061035156,100.0,15486.000061035156,125.72,2.009683461453242
2024-01-24,CSCO,2.3032862205778954,46.39767837524414,101.0,4686.165515899658,125.72,2.009683461453242
2024-01-24,CVX,2.3032862205778954,172.11553955078125,0,0.0,125.72,2.009683461453242
2024-01-24,DIS,2.3032862205778954,105.65565490722656,0.0,0.0,125.72,2.009683461453242
2024-01-24,GS,2.3032862205778954,335.2534484863281,0,0.0,125.72,2.009683461453242
2024-01-24,HD,2.3032862205778954,307.25140380859375,0,0.0,125.72,2.009683461453242
